Rank,Player,Playing Since,Points as of,Points as of,Points / Day,Last Week,Puzzles Solved,Switches,Puzzles Solved 10 or less solvers,Puzzles Solved 3 or less solvers,Puzzles Created,Puzzles Created But Not Solved,Puzzles Created 10 or less solvers,Puzzles Created 3 or less solvers,Puzzles Created with 0 solvers,Small and Easy left,Special Knowledge left,Spores left,Bugs left,Spugs left,Basic Shapes left,Small Switches left,Switched left,Minibits left,Mirrors left,RSOD left,Tricksters left,Puzzlets left,Chain Letters left,Small Shape left,Fun and Easy left,Boost Me left,Structural Representation left
100,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=145841"";""cherryontop420"")",06 Apr 2014,454807,454807,1249,0,1969,68,0,0,7,0,0,0,0,32,15,14,85,17,10,31,100,39,109,50,38,51,45,32,37,69,158
101,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=47819"";""Getty313"")",08 Aug 2012,454235,454235,468,0,1914,0,0,0,0,0,0,0,0,30,14,11,69,17,10,31,100,39,109,50,38,51,45,32,37,70,160
102,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=45073"";""qaz695"")",14 Jul 2012,453005,453005,455,0,1653,0,1,0,2,0,0,0,0,29,15,18,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
103,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=151424"";""ThunderDragon13"")",29 Apr 2014,451235,451235,1323,0,1635,267,0,0,2,0,0,0,0,27,15,19,85,17,10,28,89,39,104,50,38,51,45,31,37,64,160
104,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=41515"";""Rivalium"")",01 Jul 2012,446765,446765,443,0,1680,17,0,0,2,0,0,0,0,32,15,18,85,17,10,27,100,39,109,50,38,51,45,32,37,70,150
105,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=26671"";""Quasispecies"")",29 Jul 2011,445765,445765,331,0,1162,0,38,1,129,110,29,1,0,26,10,19,81,17,10,31,100,39,109,50,38,51,45,32,37,70,160
106,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=40166"";""portalbob340"")",26 Jun 2012,443305,443305,437,0,2306,44,0,0,15,0,0,0,0,32,15,16,83,17,10,31,100,36,109,50,38,51,45,32,37,68,160
107,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=23655"";""sergiopro"")",11 Mar 2011,441455,441455,297,0,1535,5,0,0,0,0,0,0,0,32,15,14,83,17,10,31,100,39,109,50,38,51,45,32,37,70,160
108,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=180246"";""Northlord"")",10 Sep 2014,438635,438635,2119,0,1742,29,0,0,1,1,0,0,0,31,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
109,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=65108"";""margie"")",09 Dec 2012,436235,436235,515,0,1610,9,0,0,0,0,0,0,0,32,15,18,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
110,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=64124"";""kcabral28"")",01 Dec 2012,435899,435899,509,0,803,15,0,0,9,8,0,0,0,33,15,19,85,17,10,31,100,33,108,50,38,51,45,32,37,70,160
111,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=67593"";""Ozzy1313"")",05 Jan 2013,434635,434635,530,0,1652,30,0,0,4,0,0,0,0,32,15,18,85,17,10,30,100,39,109,50,38,51,44,32,37,70,160
112,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=35293"";""hecate"")",27 Dec 2011,431695,431695,361,0,1588,0,1,0,0,0,0,0,0,28,11,6,71,17,10,31,100,39,109,50,38,51,45,32,37,70,160
113,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=57874"";""cataway"")",16 Nov 2012,431217,429417,495,1800,2043,306,1,0,152,0,0,0,0,33,15,19,85,17,10,27,83,35,107,50,38,50,42,32,37,69,158
114,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=69071"";""wilf"")",22 Jan 2013,425803,425803,530,0,1263,273,54,1,3,0,0,0,0,11,15,0,11,11,10,0,100,38,81,50,38,50,45,32,37,52,160
115,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=136909"";""wookieetank"")",07 Feb 2014,424849,424849,1006,0,1576,26,0,0,1,0,0,0,0,33,15,19,85,17,10,29,100,39,109,50,38,51,45,32,37,69,160
116,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=39942"";""mark.eberhart"")",25 Jun 2012,421883,421883,416,0,1561,12,0,0,0,0,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
117,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=39308"";""lyndseyannette"")",22 Jun 2012,418967,418967,411,0,1485,33,0,0,0,0,0,0,0,32,15,18,85,17,10,28,100,39,109,50,38,51,45,32,37,69,160
118,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=8642"";""AlexVictor"")",14 Jan 2011,418830,418830,271,0,1390,0,0,0,0,0,0,0,0,32,15,4,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
119,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=64044"";""Quxwozing"")",01 Dec 2012,418087,418087,488,0,1129,32,0,0,36,2,0,0,0,33,15,19,85,17,10,30,100,39,109,50,38,51,45,32,37,70,160
120,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=28858"";""Freywa"")",23 Sep 2011,416365,416365,322,0,1203,0,0,0,60,0,0,0,0,25,15,11,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
121,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=43147"";""opus131"")",06 Jul 2012,415235,415235,413,0,1515,0,0,0,1,0,0,0,0,32,15,18,82,17,10,31,100,39,109,50,38,51,45,32,37,70,160
122,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=207838"";""skyblue"")",21 Feb 2015,414585,396285,9641,18300,1434,118,0,0,0,0,0,0,0,33,15,19,85,17,10,29,100,39,108,50,38,51,45,32,37,69,160
123,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=38106"";""Daniel B."")",06 Apr 2012,413541,413541,378,0,1284,34,4,0,73,15,3,0,0,32,15,14,85,17,10,29,100,38,108,50,38,51,45,32,37,70,160
124,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=154249"";""sqrrr"")",10 May 2014,413313,413313,1252,0,1313,20,0,0,13,1,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
125,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=39901"";""Arikele"")",25 Jun 2012,412715,412715,407,0,1376,17,2,0,26,23,0,0,0,31,14,19,84,17,10,31,100,39,109,50,38,51,45,32,37,70,160
126,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=2612"";""ruch.mscd.edu"")",12 Jan 2011,411155,411155,266,0,1472,0,0,0,2,0,0,0,0,31,15,18,79,17,10,31,100,39,109,50,38,51,45,32,37,70,160
127,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=4417"";""Berex NZ"")",12 Jan 2011,410552,410552,265,0,792,2,0,0,10,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
128,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=1911"";""Ding"")",11 Jan 2011,409918,409918,265,0,913,0,0,0,19,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
129,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=130170"";""Rudi Metzger-Wang"")",03 Dec 2013,404985,404985,829,0,1309,21,0,0,6,1,0,0,0,32,15,18,85,17,10,31,99,39,109,50,38,51,45,32,37,70,160
130,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=52068"";""madmax337"")",17 Sep 2012,404935,404935,435,0,1299,52,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
131,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=33823"";""mattduncan1"")",24 Nov 2011,403315,403315,328,0,1266,0,0,0,0,0,0,0,0,32,15,17,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
132,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=45618"";""brettkliner"")",19 Jul 2012,403055,403055,407,0,1316,2,0,0,0,0,0,0,0,28,15,10,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
133,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=171209"";""Darkus"")",01 Aug 2014,401035,401035,1623,0,1318,49,0,0,100,70,0,0,0,32,15,19,85,17,10,30,100,39,109,50,38,51,45,32,37,70,159
134,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=133783"";""uncopy2002"")",29 Jan 2014,400735,400735,929,0,1207,24,0,0,0,0,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
135,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=36237"";""KamikazeKatze"")",31 Jan 2012,397403,397403,342,0,1170,0,0,0,22,22,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
136,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=204049"";""NUNZIO O"")",22 Jan 2015,396135,390735,5426,5400,1267,14,0,0,6,0,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,69,160
137,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=100325"";""whatnot"")",01 Jun 2013,395935,395635,588,300,1148,58,4,0,7,6,3,0,0,33,15,18,84,17,10,31,100,38,109,50,38,51,44,32,37,70,156
138,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=126141"";""Akamu"")",03 Oct 2013,395677,395677,720,0,1279,29,1,0,31,14,1,0,0,32,15,19,84,17,10,31,92,39,109,50,38,51,45,32,37,70,158
139,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=36382"";""xerophyte"")",07 Feb 2012,393535,393535,341,0,1185,0,0,0,11,5,0,0,0,32,15,18,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
140,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=47278"";""alacarus"")",07 Aug 2012,392645,392645,404,0,1056,0,1,0,2,0,0,0,0,30,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
141,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=4718"";""traynorjf"")",12 Jan 2011,390705,390705,253,0,568,0,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
142,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=129706"";""Trentis1"")",24 Nov 2013,389255,389155,783,100,963,219,15,2,10,4,0,0,0,33,15,19,82,17,10,31,97,39,109,50,38,51,45,32,37,70,158
143,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=40299"";""Jennifer Pearl"")",26 Jun 2012,388657,388657,383,0,981,0,0,0,3,2,0,0,0,33,15,19,84,17,10,31,100,39,109,50,38,51,45,32,37,70,160
144,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=141976"";""AlasterMyst"")",13 Mar 2014,388651,388651,1001,0,1204,2,0,0,6,1,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,44,32,37,70,160
145,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=19066"";""Morris83"")",28 Jan 2011,386850,386850,253,0,982,0,0,0,1,1,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
146,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=158099"";""HumanRickshaw"")",28 May 2014,385685,384085,1236,1600,1186,11,1,0,0,0,0,0,0,32,15,19,7,17,10,31,100,39,109,50,38,51,45,32,37,70,160
147,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=141716"";""wbt"")",11 Mar 2014,383469,383469,983,0,1129,15,0,0,4,4,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,159
148,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=48290"";""LFP6"")",11 Aug 2012,378459,378459,391,0,1009,24,0,0,3,2,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
149,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=51514"";""ViJay7019"")",07 Sep 2012,378247,378247,402,0,1076,6,0,0,0,0,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
150,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=182495"";""jseal"")",18 Sep 2014,377535,377535,1897,0,1170,4,1,0,0,0,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,155
151,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=196421"";""Nidoking"")",23 Nov 2014,376985,376985,2834,0,1180,69,6,0,16,12,1,0,0,29,2,19,82,17,9,17,100,39,107,50,38,51,45,32,37,60,160
152,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=131315"";""Crul"")",29 Dec 2013,376519,376519,814,0,911,9,0,0,12,12,0,0,0,33,15,19,85,17,10,30,100,39,109,50,38,51,45,32,37,70,160
153,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=14273"";""Bacteriofago"")",18 Jan 2011,375468,375468,244,0,844,0,0,0,7,1,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
154,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=8498"";""chaendryn"")",14 Jan 2011,374810,374810,243,0,741,0,0,0,2,0,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
155,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=44243"";""coatbutton"")",09 Jul 2012,373215,373215,373,0,1053,0,0,0,1,1,0,0,0,33,15,6,55,17,10,31,100,39,109,50,38,51,45,32,37,70,160
156,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=588"";""Jonathan Hall"")",11 Jan 2011,373020,373020,241,0,746,0,0,0,2,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
157,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=16299"";""DOM31"")",22 Jan 2011,372480,372480,242,0,754,0,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
158,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=137036"";""marybeth1986"")",08 Feb 2014,370983,370983,881,0,1101,0,0,0,10,3,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,68,160
159,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=58699"";""micocelot"")",16 Nov 2012,370065,370065,425,0,850,21,0,0,0,0,0,0,0,32,14,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
160,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=153316"";""Megaterio_Rex"")",06 May 2014,369485,369485,1106,0,926,17,0,0,0,0,0,0,0,33,15,19,85,17,10,28,100,39,109,50,38,51,45,32,37,69,160
161,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=92838"";""earth8845"")",05 May 2013,369119,369119,527,0,1147,24,0,0,24,19,0,0,0,31,15,16,85,17,10,30,98,39,109,50,38,51,44,32,37,69,160
162,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=143971"";""Frostarr"")",27 Mar 2014,368497,368497,985,0,947,34,1,0,4,2,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,49,45,32,37,70,160
163,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=29228"";""Frater Wroth"")",29 Sep 2011,368245,368245,286,0,1700,0,53,2,33,2,5,0,0,21,10,5,69,17,10,31,100,39,109,50,38,51,45,30,37,70,160
164,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=47142"";""blizzardbeckoner"")",07 Aug 2012,368165,368165,379,0,819,0,0,0,1,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
165,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=2098"";""Kelsey Liber"")",11 Jan 2011,367310,367310,237,0,618,0,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
166,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=33261"";""Liquid'Mosh"")",22 Nov 2011,367055,367055,298,0,893,0,0,0,8,4,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
167,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=63099"";""Deedie"")",26 Nov 2012,366979,366979,426,0,827,29,0,0,4,2,0,0,0,33,15,19,85,17,10,31,100,39,107,50,38,51,45,32,37,70,160
168,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=60409"";""meatexplosion"")",18 Nov 2012,365835,365835,421,0,930,2,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
169,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=40624"";""Vetinari"")",27 Jun 2012,365835,365835,361,0,1030,0,0,0,0,0,0,0,0,32,15,18,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
170,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=5024"";""ikssf"")",12 Jan 2011,365414,365414,236,0,864,4,0,0,1,0,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
171,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=46802"";""davidpat"")",05 Aug 2012,364993,364993,375,0,817,12,0,0,0,0,0,0,0,33,15,19,85,17,10,29,100,39,109,50,38,51,45,32,37,69,160
172,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=17430"";""Shorty4uk"")",23 Jan 2011,364803,364803,237,0,746,0,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
173,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=33158"";""jaerak"")",22 Nov 2011,364505,364505,296,0,951,0,1,0,0,0,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
174,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=149564"";""protting"")",25 Apr 2014,364487,364487,1056,0,928,9,0,0,2,2,0,0,0,33,15,19,85,17,10,30,100,39,109,50,38,51,45,32,37,70,160
175,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=23812"";""ceheuss"")",15 Mar 2011,363835,363835,245,0,661,0,0,0,0,0,0,0,0,33,15,19,83,17,10,31,100,39,109,50,38,51,45,32,37,70,160
176,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=266"";""madde"")",07 Nov 2010,363428,363428,225,0,599,0,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
177,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=83579"";""xenosapien"")",30 Mar 2013,362123,362123,492,0,904,37,0,0,1,1,0,0,0,32,15,18,84,17,10,31,100,39,109,50,38,51,45,32,37,68,160
178,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=45049"";""Pumilio"")",14 Jul 2012,361155,361155,362,0,870,9,0,0,10,4,0,0,0,33,15,19,85,17,10,31,98,39,109,50,38,51,45,32,37,70,160
179,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=56613"";""rlmarchal"")",15 Nov 2012,359173,359173,412,0,887,10,0,0,4,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
180,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=44698"";""Sean O'Neil"")",11 Jul 2012,358683,357383,359,1300,829,14,1,0,15,3,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,152
181,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=19175"";""ioanaDE"")",29 Jan 2011,358640,358640,234,0,656,0,0,0,1,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
182,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=40902"";""Krobar"")",27 Jun 2012,357953,357953,353,0,846,4,0,0,16,16,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,69,160
183,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=155760"";""pszym3"")",17 May 2014,356735,356735,1104,0,849,10,0,0,23,11,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,65,159
184,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=55442"";""Eric V Bahns"")",13 Nov 2012,356275,356275,408,0,851,11,0,0,5,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
185,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=158188"";""bekilewis"")",28 May 2014,355885,355885,1140,0,857,11,0,0,1,1,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
186,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=8496"";""Duende"")",14 Jan 2011,355250,355250,230,0,928,1,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
187,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=1990"";""tmcannon"")",11 Jan 2011,353950,353950,229,0,538,0,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
188,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=63753"";""CopperBeard"")",29 Nov 2012,352165,352165,410,0,659,4,0,0,0,0,0,0,0,33,11,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
189,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=45266"";""ATPro"")",16 Jul 2012,351489,351489,353,0,726,10,0,0,1,1,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
190,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=61853"";""sherling55"")",21 Nov 2012,350215,350215,404,0,679,4,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
191,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=276"";""dimension9"")",11 Nov 2010,350108,350108,218,0,567,0,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
192,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=84204"";""Cambo4444"")",02 Apr 2013,350051,350051,477,0,766,17,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
193,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=14195"";""Faye Campbell"")",18 Jan 2011,347670,347670,226,0,576,0,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
194,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=144494"";""xyvbun"")",30 Mar 2014,347459,347459,936,0,829,7,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,69,160
195,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=21950"";""hotsungod"")",18 Feb 2011,347375,347375,230,0,656,0,0,0,5,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
196,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=62431"";""hboshra"")",23 Nov 2012,346195,346195,401,0,614,1,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
197,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=137814"";""Mystem"")",12 Feb 2014,345101,345101,827,0,673,11,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,44,32,37,70,160
198,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=36109"";""Liquid'Idol"")",24 Jan 2012,345085,345085,295,0,769,0,0,0,0,0,0,0,0,30,14,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
199,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=38699"";""pmlkjn"")",21 May 2012,344675,344675,328,0,561,0,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
200,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=196323"";""fading1016"")",22 Nov 2014,344485,344485,2570,0,592,4,0,0,0,0,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
